id,mean_daily_demand,std_daily_demand,safety_stock,reorder_point,order_up_to,newsvendor_q,service_level,lead_time_days
FOODS_3_090_CA_1_evaluation,59.3061,34.0497,148.18,563.32,978.47,502.3,0.95,7
FOODS_3_120_CA_1_evaluation,47.2473,27.6866,120.49,451.22,781.95,401.6,0.95,7
FOODS_3_586_CA_1_evaluation,42.025,18.9899,82.64,376.82,670.99,342.78,0.95,7
FOODS_3_252_CA_1_evaluation,39.6707,18.6588,81.2,358.9,636.59,325.45,0.95,7
FOODS_3_064_CA_1_evaluation,29.9505,13.489,58.7,268.36,478.01,244.18,0.95,7
FOODS_3_282_CA_1_evaluation,25.6802,13.4806,58.67,238.43,418.19,214.27,0.95,7
FOODS_3_587_CA_1_evaluation,24.6508,11.4082,49.65,222.2,394.76,201.76,0.95,7
FOODS_3_501_CA_1_evaluation,21.1377,10.7089,46.6,194.57,342.53,175.37,0.95,7
FOODS_3_295_CA_1_evaluation,20.9068,10.1665,44.24,190.59,336.94,172.37,0.95,7
FOODS_3_714_CA_1_evaluation,19.4529,8.8423,38.48,174.65,310.82,158.8,0.95,7
FOODS_3_511_CA_1_evaluation,19.2537,9.412,40.96,175.74,310.51,158.87,0.95,7
FOODS_2_197_CA_1_evaluation,18.7174,9.7157,42.28,173.3,304.33,155.89,0.95,7
FOODS_3_555_CA_1_evaluation,18.7108,7.7584,33.76,164.74,295.72,150.83,0.95,7
FOODS_3_080_CA_1_evaluation,18.5986,7.7882,33.89,164.08,294.27,150.12,0.95,7
FOODS_3_681_CA_1_evaluation,18.0875,8.4566,36.8,163.41,290.03,148.26,0.95,7
FOODS_3_499_CA_1_evaluation,16.9025,8.7797,38.21,156.53,274.84,140.79,0.95,7
FOODS_2_019_CA_1_evaluation,16.6856,8.4063,36.58,153.38,270.18,138.32,0.95,7
FOODS_3_362_CA_1_evaluation,16.3006,9.6521,42.0,156.11,270.21,138.81,0.95,7
FOODS_3_288_CA_1_evaluation,16.2443,8.4582,36.81,150.52,264.23,135.36,0.95,7
FOODS_3_202_CA_1_evaluation,15.8379,7.7857,33.88,144.75,255.61,130.79,0.95,7
FOODS_3_099_CA_1_evaluation,15.7146,7.7717,33.82,143.82,253.83,129.89,0.95,7
FOODS_3_741_CA_1_evaluation,15.5004,8.5438,37.18,145.68,254.19,130.37,0.95,7
FOODS_3_739_CA_1_evaluation,14.6858,8.1253,35.36,138.16,240.96,123.6,0.95,7
FOODS_3_702_CA_1_evaluation,14.6834,6.9988,30.46,133.24,236.03,120.7,0.95,7
FOODS_3_329_CA_1_evaluation,14.4911,8.9126,38.79,140.22,241.66,124.25,0.95,7
HOBBIES_1_048_CA_1_evaluation,14.4591,8.8938,38.7,139.92,241.13,123.98,0.95,7
FOODS_3_785_CA_1_evaluation,14.183,7.5229,32.74,132.02,231.3,118.54,0.95,7
HOUSEHOLD_1_465_CA_1_evaluation,13.7295,7.2446,31.53,127.63,223.74,114.65,0.95,7
FOODS_3_607_CA_1_evaluation,13.5331,6.8433,29.78,124.51,219.24,112.25,0.95,7
FOODS_3_406_CA_1_evaluation,13.3271,7.2826,31.69,124.98,218.27,111.93,0.95,7
FOODS_3_723_CA_1_evaluation,13.0638,7.499,32.63,124.08,215.53,110.64,0.95,7
HOUSEHOLD_1_334_CA_1_evaluation,12.4505,6.2881,27.36,114.52,201.67,103.25,0.95,7
FOODS_3_760_CA_1_evaluation,12.3028,6.3942,27.83,113.95,200.07,102.49,0.95,7
FOODS_3_491_CA_1_evaluation,11.9573,7.3267,31.89,115.59,199.29,102.45,0.95,7
HOUSEHOLD_1_418_CA_1_evaluation,11.9398,6.5396,28.46,112.04,195.62,100.32,0.95,7
FOODS_3_755_CA_1_evaluation,11.8463,6.4871,28.23,111.15,194.08,99.53,0.95,7
FOODS_3_811_CA_1_evaluation,11.5635,7.1441,31.09,112.03,192.98,99.23,0.95,7
HOBBIES_1_371_CA_1_evaluation,11.5419,9.7877,42.59,123.39,204.18,105.85,0.95,7
FOODS_2_347_CA_1_evaluation,11.361,6.3406,27.59,107.12,186.65,95.76,0.95,7
FOODS_2_276_CA_1_evaluation,10.9005,6.1812,26.9,103.2,179.51,92.12,0.95,7
FOODS_3_697_CA_1_evaluation,10.7557,5.15,22.41,97.7,172.99,88.47,0.95,7
FOODS_3_086_CA_1_evaluation,10.6956,6.1951,26.96,101.83,176.7,90.73,0.95,7
FOODS_3_744_CA_1_evaluation,10.6938,4.6459,20.22,95.07,169.93,86.75,0.95,7
FOODS_1_099_CA_1_evaluation,10.6565,6.0511,26.33,100.93,175.52,90.08,0.95,7
HOBBIES_1_189_CA_1_evaluation,10.498,7.5069,32.67,106.16,179.64,92.7,0.95,7
FOODS_3_318_CA_1_evaluation,10.2452,6.5426,28.47,100.19,171.91,88.46,0.95,7
HOBBIES_1_268_CA_1_evaluation,10.1682,8.7151,37.93,109.1,180.28,93.48,0.95,7
FOODS_1_085_CA_1_evaluation,9.8733,5.3521,23.29,92.4,161.52,82.81,0.95,7
FOODS_2_360_CA_1_evaluation,9.7499,6.6048,28.74,96.99,165.24,85.16,0.95,7
FOODS_1_218_CA_1_evaluation,9.6475,5.4933,23.91,91.44,158.97,81.59,0.95,7
HOUSEHOLD_1_096_CA_1_evaluation,9.6386,5.042,21.94,89.41,156.88,80.38,0.95,7
FOODS_3_020_CA_1_evaluation,9.633,5.9461,25.88,93.31,160.74,82.65,0.95,7
FOODS_1_018_CA_1_evaluation,9.6149,5.4993,23.93,91.24,158.54,81.38,0.95,7
FOODS_3_694_CA_1_evaluation,9.4614,4.9544,21.56,87.79,154.02,78.91,0.95,7
FOODS_1_200_CA_1_evaluation,9.4368,5.1482,22.4,88.46,154.52,79.23,0.95,7
HOUSEHOLD_1_110_CA_1_evaluation,9.0418,4.843,21.08,84.37,147.66,75.69,0.95,7
HOUSEHOLD_1_032_CA_1_evaluation,9.0284,4.6979,20.44,83.64,146.84,75.22,0.95,7
FOODS_3_377_CA_1_evaluation,9.0257,3.402,14.81,77.99,141.17,71.89,0.95,7
FOODS_3_516_CA_1_evaluation,8.9802,4.0732,17.73,80.59,143.45,73.29,0.95,7
FOODS_3_281_CA_1_evaluation,8.8448,5.4577,23.75,85.67,147.58,75.88,0.95,7
FOODS_3_351_CA_1_evaluation,8.8349,5.4113,23.55,85.39,147.24,75.69,0.95,7
HOUSEHOLD_1_118_CA_1_evaluation,8.6067,5.4703,23.81,84.05,144.3,74.25,0.95,7
HOUSEHOLD_1_514_CA_1_evaluation,8.5815,4.4737,19.47,79.54,139.61,71.52,0.95,7
FOODS_3_455_CA_1_evaluation,8.4909,4.5251,19.69,79.13,138.56,71.02,0.95,7
FOODS_2_371_CA_1_evaluation,8.2854,4.476,19.48,77.48,135.48,69.45,0.95,7
HOUSEHOLD_1_191_CA_1_evaluation,8.2816,5.7424,24.99,82.96,140.93,72.67,0.95,7
FOODS_3_682_CA_1_evaluation,8.2531,5.1042,22.21,79.98,137.76,70.84,0.95,7
FOODS_3_234_CA_1_evaluation,8.204,7.3569,32.02,89.44,146.87,76.26,0.95,7
HOUSEHOLD_1_517_CA_1_evaluation,8.1965,4.9978,21.75,79.13,136.5,70.17,0.95,7
FOODS_3_473_CA_1_evaluation,8.1957,3.9988,17.4,74.77,132.14,67.61,0.95,7
HOBBIES_1_261_CA_1_evaluation,8.1075,6.7948,29.57,86.32,143.08,74.14,0.95,7
HOUSEHOLD_1_399_CA_1_evaluation,8.0949,4.2308,18.41,75.08,131.74,67.49,0.95,7
HOUSEHOLD_1_447_CA_1_evaluation,8.0767,4.4314,19.28,75.82,132.36,67.88,0.95,7
FOODS_3_389_CA_1_evaluation,8.0186,3.1898,13.88,70.01,126.14,64.29,0.95,7
HOBBIES_1_008_CA_1_evaluation,8.0042,6.989,30.42,86.44,142.47,73.92,0.95,7
FOODS_3_668_CA_1_evaluation,7.9881,3.0497,13.27,69.19,125.1,63.72,0.95,7
FOODS_3_349_CA_1_evaluation,7.8637,3.9828,17.33,72.38,127.43,65.24,0.95,7
FOODS_3_219_CA_1_evaluation,7.8375,5.1467,22.4,77.26,132.12,68.04,0.95,7
FOODS_3_393_CA_1_evaluation,7.8231,4.683,20.38,75.14,129.9,66.75,0.95,7
FOODS_3_764_CA_1_evaluation,7.7994,4.712,20.51,75.1,129.7,66.66,0.95,7
HOBBIES_1_254_CA_1_evaluation,7.773,6.2849,27.35,81.76,136.17,70.5,0.95,7
FOODS_1_082_CA_1_evaluation,7.7552,4.2575,18.53,72.81,127.1,65.18,0.95,7
HOBBIES_1_354_CA_1_evaluation,7.7292,3.6484,15.88,69.98,124.09,63.44,0.95,7
FOODS_1_046_CA_1_evaluation,7.7161,4.7544,20.69,74.7,128.72,66.18,0.95,7
FOODS_3_097_CA_1_evaluation,7.696,4.4546,19.39,73.26,127.13,65.27,0.95,7
HOBBIES_1_387_CA_1_evaluation,7.5562,7.9184,34.46,87.35,140.25,73.16,0.95,7
HOBBIES_1_019_CA_1_evaluation,7.5228,7.0407,30.64,83.3,135.96,70.68,0.95,7
HOUSEHOLD_1_414_CA_1_evaluation,7.5037,4.8916,21.29,73.81,126.34,65.05,0.95,7
HOBBIES_1_348_CA_1_evaluation,7.4474,8.2691,35.99,88.12,140.25,73.3,0.95,7
FOODS_3_030_CA_1_evaluation,7.4154,4.6501,20.24,72.14,124.05,63.81,0.95,7
FOODS_3_348_CA_1_evaluation,7.3922,4.4834,19.51,71.26,123.0,63.22,0.95,7
FOODS_1_019_CA_1_evaluation,7.3682,5.5976,24.36,75.94,127.52,65.91,0.95,7
FOODS_3_133_CA_1_evaluation,7.2397,4.3984,19.14,69.82,120.5,61.94,0.95,7
HOUSEHOLD_1_535_CA_1_evaluation,7.1097,3.9799,17.32,67.09,116.86,59.95,0.95,7
FOODS_3_474_CA_1_evaluation,7.1052,4.6479,20.23,69.96,119.7,61.63,0.95,7
FOODS_3_695_CA_1_evaluation,7.1041,3.9611,17.24,66.97,116.7,59.87,0.95,7
FOODS_3_570_CA_1_evaluation,7.0986,4.0871,17.79,67.48,117.17,60.15,0.95,7
FOODS_3_711_CA_1_evaluation,7.0485,5.8469,25.45,74.78,124.12,64.3,0.95,7
FOODS_3_757_CA_1_evaluation,7.0472,4.3636,18.99,68.32,117.65,60.5,0.95,7
HOUSEHOLD_1_254_CA_1_evaluation,6.9997,4.4004,19.15,68.15,117.15,60.26,0.95,7
HOBBIES_1_178_CA_1_evaluation,6.9413,5.916,25.75,74.33,122.92,63.73,0.95,7
FOODS_3_339_CA_1_evaluation,6.8051,4.4948,19.56,67.2,114.83,59.14,0.95,7
FOODS_2_241_CA_1_evaluation,6.7798,3.7768,16.44,63.89,111.35,57.13,0.95,7
FOODS_3_233_CA_1_evaluation,6.7652,4.5187,19.66,67.02,114.38,58.92,0.95,7
FOODS_3_324_CA_1_evaluation,6.7601,4.5652,19.87,67.19,114.51,59.01,0.95,7
HOBBIES_1_288_CA_1_evaluation,6.757,5.932,25.82,73.11,120.41,62.48,0.95,7
HOUSEHOLD_1_066_CA_1_evaluation,6.6627,3.6674,15.96,62.6,109.24,56.03,0.95,7
FOODS_2_222_CA_1_evaluation,6.629,4.1372,18.0,64.41,110.81,56.99,0.95,7
FOODS_3_228_CA_1_evaluation,6.6212,2.8223,12.28,58.63,104.98,53.57,0.95,7
FOODS_3_688_CA_1_evaluation,6.6074,4.0149,17.47,63.72,109.98,56.53,0.95,7
FOODS_2_326_CA_1_evaluation,6.596,4.6364,20.18,66.35,112.52,58.04,0.95,7
FOODS_3_399_CA_1_evaluation,6.5812,4.4857,19.52,65.59,111.66,57.55,0.95,7
FOODS_3_363_CA_1_evaluation,6.5617,4.4996,19.58,65.51,111.45,57.45,0.95,7
FOODS_2_128_CA_1_evaluation,6.5449,5.4426,23.69,69.5,115.31,59.75,0.95,7
FOODS_3_458_CA_1_evaluation,6.5101,3.4576,15.05,60.62,106.19,54.42,0.95,7
HOBBIES_1_147_CA_1_evaluation,6.4632,3.9471,17.18,62.42,107.66,55.35,0.95,7
FOODS_3_526_CA_1_evaluation,6.4584,4.0211,17.5,62.71,107.92,55.5,0.95,7
FOODS_3_752_CA_1_evaluation,6.4387,5.2694,22.93,68.0,113.07,58.56,0.95,7
HOBBIES_1_369_CA_1_evaluation,6.4368,6.4189,27.93,72.99,118.05,61.49,0.95,7
FOODS_3_148_CA_1_evaluation,6.4114,4.2574,18.53,63.41,108.29,55.78,0.95,7
FOODS_1_161_CA_1_evaluation,6.3643,4.2621,18.55,63.1,107.65,55.46,0.95,7
HOUSEHOLD_1_409_CA_1_evaluation,6.2842,3.0939,13.46,57.45,101.44,51.91,0.95,7
HOUSEHOLD_1_151_CA_1_evaluation,6.2775,3.8576,16.79,60.73,104.67,53.82,0.95,7
FOODS_3_654_CA_1_evaluation,6.2657,3.537,15.39,59.25,103.11,52.91,0.95,7
HOUSEHOLD_1_448_CA_1_evaluation,6.1972,4.1152,17.91,61.29,104.67,53.91,0.95,7
FOODS_3_302_CA_1_evaluation,6.07,3.8547,16.78,59.27,101.76,52.36,0.95,7
HOUSEHOLD_1_339_CA_1_evaluation,6.0676,3.8209,16.63,59.1,101.57,52.25,0.95,7
HOBBIES_1_404_CA_1_evaluation,6.0526,5.2443,22.82,65.19,107.56,55.79,0.95,7
HOBBIES_1_169_CA_1_evaluation,6.0134,6.0759,26.44,68.54,110.63,57.65,0.95,7
HOBBIES_1_295_CA_1_evaluation,6.0051,5.0749,22.09,64.12,106.16,55.03,0.95,7
FOODS_3_037_CA_1_evaluation,5.9588,3.5773,15.57,57.28,98.99,50.87,0.95,7
FOODS_3_124_CA_1_evaluation,5.9479,3.4278,14.92,56.55,98.19,50.41,0.95,7
HOBBIES_1_030_CA_1_evaluation,5.9038,5.0921,22.16,63.49,104.81,54.36,0.95,7
HOUSEHOLD_1_303_CA_1_evaluation,5.8962,3.9343,17.12,58.4,99.67,51.34,0.95,7
FOODS_3_462_CA_1_evaluation,5.8877,3.8227,16.64,57.85,99.06,51.0,0.95,7
FOODS_3_652_CA_1_evaluation,5.883,3.5405,15.41,56.59,97.77,50.24,0.95,7
FOODS_3_066_CA_1_evaluation,5.8709,3.3145,14.42,55.52,96.62,49.58,0.95,7
HOBBIES_1_016_CA_1_evaluation,5.8596,4.6506,20.24,61.26,102.27,52.92,0.95,7
